project_name,project_location,project_founder,fund_goal,fund_currency,fund_progress,fund_date_end,fund_supporter,category,goal_tipping point,goal_stretch point,percentagefunded,percstretch,Word_count,Analytic,Clout,Authentic,Tone,Words_per_sentence,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Brew and Broth - A Place for Meaningful Meals,Adelaide,Warndu,"12,500",AUD,"22,687","'May 25, 2016",91,Food;,"12,500","50,000",1.81496,0.45374,636,64.21,96.08,16.90,89.18,19.88,19.50,45.75,14.62,9.12,0.16,7.39,1.26,0.00,0.31,5.50,3.30,12.58,6.13,2.36,7.23,0.94,13.21,5.19,2.36,0.47,2.36,2.99,7.23,5.50,1.73,0.00,0.47,0.00,12.58,0.00,0.00,0.00,0.00,14.47,3.14,4.87,1.42,1.89,1.73,2.52,1.10,0.63,0.00,0.31,3.14,0.63,0.00,0.00,2.52,16.98,9.75,2.52,1.89,2.52,1.26,1.10,8.18,1.57,10.85,1.42,5.82,3.77,2.83,0.63,0.16,0.79,0.00,0.31,0.31,0.00,0.00,0.00,0.16,0.00,13.52,5.35,3.77,0.31,0.47,0.00,0.16,1.10,0.16,0.31,0.31,1.57
Bridge Project - Coaching for Nigerian Teens,Abuja,Skills Outside School Foundation,"2,000",USD,520,"'Fundraising ended on Feb 18, 2015",7,Children & Youth;Economic Development;,"2,000","8,000",0.26000,0.06500,751,98.24,74.31,12.11,81.09,35.76,33.56,33.16,2.40,1.33,0.00,0.27,0.13,0.00,0.93,1.07,6.66,15.05,3.33,0.93,5.86,0.00,6.66,3.73,1.60,0.40,6.13,2.40,3.73,3.33,0.27,0.13,0.00,0.13,6.66,0.27,0.00,0.00,0.00,6.92,2.13,2.13,0.93,0.93,1.07,0.53,0.13,0.13,0.00,0.00,0.53,0.13,0.27,0.13,0.00,13.58,2.80,6.39,5.59,1.33,0.53,2.40,3.06,1.07,12.25,1.07,7.46,3.86,18.38,1.73,0.53,1.73,0.27,0.00,0.40,0.00,0.40,0.00,0.00,0.00,21.44,2.66,3.60,2.13,0.13,0.00,0.93,1.07,0.93,0.13,1.60,8.26
"Bridge the Gap Villages: Vorovoro Island, Fiji",Indianapolis,"Bridge the Gap Villages: Vorovoro Island, Fiji","35,000",USD,"11,237","'Fundraising ended on Mar 15, 2013",42,Economic Development;Indigenous;,"35,000","110,000",0.32106,0.10215,530,88.38,93.90,5.35,94.66,23.04,33.21,42.45,9.62,6.04,0.00,2.83,1.13,0.00,2.08,3.58,5.85,14.91,6.42,2.45,5.66,0.38,12.08,4.72,2.45,1.13,1.13,1.89,4.91,4.72,0.19,0.00,0.00,0.19,12.45,0.19,0.19,0.00,0.00,8.30,1.89,2.26,1.51,1.70,1.13,0.57,3.02,0.38,0.57,0.38,1.70,0.19,1.51,0.00,0.00,15.66,6.79,4.72,3.40,2.83,0.00,1.13,8.49,2.64,10.38,1.70,5.85,3.02,6.79,2.64,0.38,2.45,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.09,3.96,5.85,0.57,0.19,0.19,0.19,1.70,0.38,1.32,0.57,0.19
Bridging Worx Pacifix Education Expo,Melbourne,Bridging Worx,"5,000",AUD,"1,400","'Fundraising ended on Jul 21, 2014",16,Education;,"5,000","7,000",0.28000,0.20000,343,79.35,94.86,5.98,99.00,38.11,28.86,41.98,8.75,5.54,0.00,1.75,2.04,0.00,1.75,3.21,5.83,11.95,6.71,2.62,8.16,0.58,16.33,3.21,0.87,2.62,1.17,0.58,7.00,6.41,0.29,0.00,0.00,0.29,13.70,1.17,0.29,0.00,0.00,8.16,2.04,3.50,0.29,1.46,0.58,0.58,1.75,0.29,1.17,0.00,0.87,0.58,0.00,0.00,0.29,13.70,5.83,1.46,7.87,2.04,0.00,0.87,13.41,2.92,9.33,2.33,3.79,2.33,8.45,3.79,1.17,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.24,2.62,1.75,0.87,0.00,0.00,0.58,4.96,0.00,0.29,0.00,1.17
Bring 100 Backpacks to 100 Children in Mali,Windsor,The Backpack Company,"10,000",USD,"4,120","'Fundraising ended on May 22, 2012",24,Education;,"10,000","15,000",0.41200,0.27467,365,73.98,98.20,22.36,84.00,16.59,20.00,56.71,14.79,11.51,0.82,4.93,4.38,0.00,1.37,3.29,9.86,14.79,6.58,5.48,7.67,1.64,12.33,3.84,3.01,2.74,1.92,2.19,3.84,3.56,0.27,0.00,0.27,0.00,16.71,0.00,0.27,0.00,0.00,7.67,0.82,0.82,2.19,1.37,0.82,2.47,1.64,0.82,0.27,0.27,1.10,0.27,0.27,0.27,0.27,12.88,6.85,1.92,3.84,2.19,0.27,3.01,9.59,0.82,14.52,3.29,6.30,5.48,4.66,1.37,0.00,3.56,0.27,0.00,0.27,0.00,0.27,0.00,0.00,0.00,14.25,6.30,3.56,0.00,0.00,0.00,0.55,1.64,0.00,0.55,1.64,0.00
Bring 2nd Recess to North County San Diego,San Diego,2nd Recess,"1,200",USD,"3,550","'May 10, 2015",34,Children & Youth;,"1,200","3,600",2.95833,0.98611,963,81.61,97.35,17.40,99.00,18.52,23.78,45.69,12.36,9.24,0.31,2.80,2.28,2.49,1.35,3.12,4.88,15.26,6.02,3.43,5.82,0.42,12.98,5.61,1.77,0.93,2.91,2.28,7.68,7.48,0.21,0.10,0.00,0.10,15.89,1.14,0.10,1.04,1.97,7.68,3.01,1.56,0.73,0.62,1.25,0.83,1.04,0.42,0.00,0.52,3.22,0.21,1.77,0.21,1.35,13.08,6.85,2.70,3.12,1.77,0.52,1.87,11.11,0.62,14.43,3.63,6.23,4.57,3.74,4.36,1.04,0.62,0.10,0.00,0.42,0.00,0.31,0.00,0.10,0.00,15.26,4.47,2.80,0.31,0.00,0.00,1.14,1.87,0.21,0.31,1.25,2.91
Bring American and Nepali Teachers Together,"Lalitpur, Nepal",TIEs with Teachers,"8,000",USD,"12,635","'Feb 12, 2015",98,Education;,"8,000","12,000",1.57938,1.05292,545,90.20,93.59,29.67,84.18,23.70,29.91,42.20,8.99,6.79,0.00,4.59,0.73,0.00,1.47,2.20,5.69,15.60,5.14,3.49,4.95,1.10,10.28,4.59,2.94,1.83,2.39,2.20,3.67,3.49,0.18,0.00,0.00,0.00,13.21,0.00,0.73,0.00,0.00,7.52,2.75,1.10,1.28,1.10,0.37,2.20,1.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.90,8.62,3.30,6.61,2.39,0.00,0.73,8.62,0.92,14.13,1.47,8.44,4.22,12.29,1.10,0.18,1.10,0.18,0.00,0.92,0.00,0.92,0.37,0.00,0.00,15.60,4.77,2.02,0.92,0.18,0.55,0.73,1.10,0.37,0.92,2.02,2.02
Bring Elders to Sydney,Sydney,Culture is Life,"5,100",AUD,"8,875","'Nov 12, 2014",139,Human Rights;Indigenous;,"5,100","7,950",1.74020,1.11635,206,97.40,88.74,25.18,5.27,29.43,22.82,47.09,7.28,2.91,0.00,0.97,0.00,0.00,1.94,4.37,10.19,17.48,6.31,1.46,4.85,0.97,13.11,4.37,1.46,0.49,1.46,0.97,7.77,2.91,4.85,0.49,0.00,1.94,13.11,0.00,0.00,0.00,0.00,6.80,1.94,1.46,1.46,0.97,0.97,0.97,2.43,0.00,1.46,0.49,2.91,0.00,2.91,0.00,0.00,11.65,4.37,2.91,3.40,0.97,3.40,3.40,9.22,0.00,15.53,2.43,6.80,6.80,3.40,0.00,0.00,0.97,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,9.22,3.40,2.91,0.49,0.00,0.00,0.00,0.97,0.00,1.46,0.00,0.00
Bring Financial Inclusion for All in Rural Kenya,"Embu, Kenya","IDDS Financial Inclusion, Kenya 2018","10,000",USD,"10,352","'May 31, 2018",117,Community;Economic Development;Social Enterprise;,"10,000","15,000",1.03520,0.69013,1111,92.93,74.45,12.31,92.21,24.69,33.75,38.88,4.95,2.25,0.00,0.99,0.00,0.00,1.26,2.70,6.03,14.67,5.49,2.61,7.02,0.54,10.17,2.97,2.16,0.36,3.60,0.99,5.40,4.77,0.63,0.00,0.09,0.18,7.83,0.00,0.09,0.00,0.00,8.19,2.16,3.06,0.81,0.90,0.27,1.71,1.17,0.54,0.09,0.27,0.72,0.18,0.54,0.00,0.00,11.52,3.33,4.50,3.42,1.44,0.54,1.53,6.12,1.71,10.98,1.44,7.65,1.80,12.42,0.81,0.09,6.75,0.00,0.00,0.09,0.00,0.00,0.00,0.09,0.00,17.01,3.87,7.74,0.72,0.00,0.18,0.00,0.63,0.00,0.18,2.34,1.35
Bring Green Jobs to Newfoundland and Labrador,"St. John's, Canada",Iron and Earth East,"25,000",CAD,"26,840","'Aug 16, 2016",148,Economic Development;Environment;Food;,"25,000","100,000",1.07360,0.26840,1393,95.18,85.93,20.95,97.10,18.57,29.72,41.35,7.32,4.88,0.07,3.59,0.14,1.01,0.07,2.44,6.96,15.72,5.31,1.58,5.46,0.22,9.40,5.81,2.44,0.86,1.72,1.44,5.10,5.10,0.00,0.00,0.00,0.00,8.04,0.07,0.07,0.00,1.08,4.88,1.01,2.15,0.22,0.43,0.36,0.72,2.94,1.79,0.07,0.43,1.08,0.14,0.22,0.36,0.36,13.42,5.46,4.24,4.16,1.22,0.29,1.44,7.32,1.72,15.58,2.66,9.55,3.88,10.19,0.57,0.22,2.30,0.07,0.14,0.07,0.00,0.07,0.00,0.00,0.00,13.42,5.81,3.37,0.93,0.00,0.00,0.14,1.58,0.07,0.93,0.43,0.14
Bring Mindfulness + Movement to Schools!,"Nashville, United States",Riki Rattner,"25,000",USD,"25,000","'Jul 29, 2019",105,Children & Youth;Education;Health;,"25,000","75,000",1.00000,0.33333,927,93.83,85.73,21.61,52.05,16.55,31.61,36.03,7.01,4.85,0.00,1.83,0.32,0.97,1.73,2.16,4.64,14.78,4.21,1.62,5.29,0.22,9.60,5.29,2.91,1.19,4.42,2.05,5.72,3.56,2.16,0.76,0.11,0.00,9.39,0.11,0.11,0.97,0.00,7.12,2.91,2.05,0.32,0.22,1.40,0.65,0.97,0.54,0.00,0.00,1.19,0.65,0.43,0.11,0.00,15.32,4.31,4.21,6.47,2.05,0.43,2.80,5.93,0.32,14.02,2.27,7.87,3.99,15.32,1.19,0.11,0.54,0.11,0.00,0.65,0.00,0.54,0.00,0.11,0.00,23.95,8.09,6.90,0.11,0.00,0.00,0.11,3.45,0.00,1.08,2.80,1.40
Bring Our Services to You,Pembroke,The Granted Foundation,"1,000",USD,145,"'Fundraising ended on Oct 12, 2012",5,Community;,"1,000","3,000",0.14500,0.04833,252,85.72,75.02,42.34,47.81,16.80,24.60,47.22,11.11,8.33,3.97,3.57,0.00,0.00,0.79,2.78,7.54,14.68,6.35,2.78,7.14,0.40,12.70,6.35,2.78,0.40,1.19,3.17,1.98,1.59,0.40,0.00,0.00,0.00,7.94,0.00,0.00,0.00,0.00,6.35,1.59,1.19,2.38,1.59,0.40,0.40,1.19,0.40,0.00,0.79,0.40,0.00,0.40,0.00,0.00,15.08,5.95,3.17,5.95,1.98,0.40,3.97,11.11,0.79,16.27,0.40,9.13,7.14,17.86,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.70,5.56,3.97,0.00,0.00,0.00,1.19,1.19,0.00,0.00,0.00,0.79
Bring Panama back to Earth - Proyecto SUELO,Panama,Estudio Nuboso,"16,000",USD,"16,349","'Dec 15, 2013",94,Arts & Culture;,"16,000","30,000",1.02181,0.54497,1432,96.83,80.28,20.53,65.46,19.62,30.94,40.08,4.54,2.65,0.07,1.54,0.14,0.77,0.14,1.89,8.59,15.36,3.98,2.51,7.33,0.07,7.68,3.35,1.75,0.63,2.58,1.19,3.21,2.65,0.56,0.07,0.07,0.07,7.47,0.00,0.49,0.56,0.21,4.75,1.26,2.16,0.28,0.70,0.35,0.49,1.33,0.70,0.28,0.14,0.98,0.07,0.21,0.07,0.49,8.38,4.05,2.16,1.75,0.91,0.35,1.33,6.22,0.70,15.29,1.75,9.92,3.63,6.49,2.30,1.05,0.70,0.28,0.00,0.14,0.00,0.07,0.00,0.07,0.00,17.95,5.80,4.89,0.91,0.35,0.00,0.63,2.37,0.28,0.49,1.33,0.91
Bring Safe Drinking Water to Children in Africa,Ghana,Water is Life,"2,100",USD,30,"'Fundraising ended on Sep 28, 2012",5,Health;,"2,100","7,500",0.01429,0.00400,219,95.14,69.22,20.16,13.42,27.38,23.74,38.81,4.11,1.83,0.00,0.91,0.00,0.00,0.91,2.28,5.94,15.53,6.85,2.74,5.02,0.00,9.59,5.48,1.37,0.91,2.28,1.83,4.57,1.83,2.74,0.46,0.46,0.00,4.57,0.00,0.46,0.46,0.00,5.48,1.83,2.28,0.00,0.91,0.91,0.46,0.91,0.91,0.00,0.00,8.22,0.00,2.74,0.00,5.48,7.76,2.28,0.46,3.65,0.00,1.37,0.46,7.31,1.37,13.70,0.46,9.59,3.65,2.74,0.91,0.91,1.83,0.00,0.91,0.46,0.00,0.46,0.00,0.00,0.00,14.16,5.02,5.94,0.00,0.00,0.00,0.00,2.28,0.00,0.00,0.00,0.91
Bring safe water to underserved communities,Kolkata,Zimba,"2,500",USD,300,"'Fundraising ended on Aug 20, 2012",5,Health;,"2,500","10,000",0.12000,0.03000,92,89.08,83.61,2.02,83.66,18.40,21.74,33.70,6.52,3.26,0.00,2.17,0.00,1.09,0.00,3.26,6.52,9.78,5.43,0.00,7.61,0.00,6.52,7.61,3.26,0.00,7.61,3.26,3.26,3.26,0.00,0.00,0.00,0.00,10.87,2.17,0.00,0.00,1.09,6.52,1.09,0.00,0.00,2.17,2.17,3.26,0.00,0.00,0.00,0.00,5.43,0.00,2.17,0.00,3.26,15.22,6.52,3.26,3.26,2.17,2.17,1.09,6.52,1.09,5.43,4.35,1.09,1.09,2.17,3.26,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.96,4.35,2.17,0.00,0.00,0.00,1.09,1.09,0.00,2.17,0.00,1.09
Bring services to more families,"California, MD",The Crib,"2,500",USD,295,"'Fundraising ended on Jan 12, 2012",7,Economic Development;,"2,500","10,000",0.11800,0.02950,182,97.09,83.88,28.45,76.53,22.75,31.32,39.01,6.59,3.85,0.00,1.10,0.00,0.00,2.75,2.75,7.69,15.38,4.40,0.55,5.49,0.00,8.79,5.49,1.65,0.55,2.75,2.20,2.75,2.75,0.00,0.00,0.00,0.00,9.34,1.10,0.00,0.00,0.00,5.49,1.10,1.10,0.00,0.55,2.75,0.55,0.55,0.00,0.55,0.00,2.20,0.00,2.20,0.00,0.00,13.19,4.95,2.20,7.14,1.65,0.00,1.10,6.04,0.55,15.93,3.30,6.59,6.59,19.23,1.65,0.55,1.65,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.84,3.85,7.69,0.55,0.00,0.00,0.55,1.65,0.00,0.55,0.00,0.00
Bring Shakespeare to Anacostia,"Washington, DC",Pallas Theatre Collective,"1,500",USD,"3,090","'Oct 10, 2014",40,Arts & Culture;,"1,500","6,000",2.06000,0.51500,599,87.58,98.00,9.19,96.15,20.66,24.04,47.25,12.69,9.68,0.00,5.84,1.67,0.33,1.84,3.01,7.18,15.36,6.34,2.00,5.34,0.50,11.35,3.01,1.17,0.33,1.84,1.34,5.18,5.01,0.17,0.17,0.00,0.00,14.19,0.00,0.50,0.33,0.00,6.68,0.67,3.17,0.83,0.83,0.50,0.67,1.84,1.34,0.33,0.17,0.67,0.17,0.17,0.00,0.00,12.69,8.51,2.00,2.17,1.00,0.17,0.50,10.52,0.67,12.85,1.67,7.51,3.67,6.34,4.01,0.67,1.50,0.00,0.00,0.67,0.00,0.67,0.00,0.00,0.00,19.03,3.67,7.01,0.33,0.00,0.83,0.33,0.83,0.33,0.83,2.00,2.84
Bring SMAC Sock Monkeys Against Cancer to Life,Omaha,SMAC Sock Monkeys Against Cancer,"27,000",USD,"35,681","'Nov 30, 2012",382,Health;Social Enterprise;,"27,000","35,000",1.32152,1.01946,439,94.08,72.31,6.37,76.33,14.16,19.82,41.46,8.88,5.24,2.28,0.23,1.14,1.37,0.23,3.64,7.06,15.49,5.24,2.73,4.33,0.00,11.62,2.96,1.59,1.37,3.87,3.87,5.01,3.87,1.14,0.00,0.46,0.46,7.97,0.68,0.91,2.05,0.23,9.34,0.68,3.87,1.37,1.37,1.59,0.91,0.68,0.23,0.00,0.46,5.69,1.14,4.33,0.00,0.00,8.20,2.73,2.96,2.73,0.91,0.23,0.46,8.88,1.59,10.71,3.42,5.24,2.51,3.64,0.23,0.00,2.28,2.96,0.00,0.68,0.23,0.23,0.00,0.46,0.00,24.15,3.42,6.38,0.68,0.00,0.23,3.64,4.56,0.91,0.46,1.37,2.51
Bring Speech Therapy to Cambodia,Phnom Penh,CABDICO,"12,000",USD,"15,453","'Oct 22, 2013",59,Children & Youth;,"12,000","45,781",1.28775,0.33754,338,68.86,88.73,16.22,13.70,19.88,28.40,49.70,13.02,6.80,0.00,4.44,0.59,0.00,1.78,6.21,5.92,13.02,8.28,3.55,6.21,1.48,10.65,4.14,2.37,0.59,2.66,2.07,5.03,2.07,2.96,0.30,0.30,0.89,12.13,0.00,0.00,0.00,0.00,9.76,2.37,2.37,1.18,2.07,0.30,3.55,2.07,1.48,0.59,0.00,3.85,0.89,1.78,0.00,1.18,14.20,5.92,4.44,2.96,1.18,1.18,1.48,10.65,0.89,10.36,1.18,6.80,2.37,4.73,0.00,0.30,0.89,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,12.72,5.33,4.14,0.30,0.00,0.00,0.00,0.30,0.00,0.00,2.37,0.30
Bring the Digital Classroom into the Home,Seattle / Tacoma Washington,Open Education Institute,"5,000",USD,230,"'Fundraising ended on Nov 16, 2012",7,Education;,"5,000","20,000",0.04600,0.01150,459,95.35,92.16,30.05,58.75,19.12,33.99,38.78,6.10,5.01,0.44,2.83,0.44,0.00,1.31,1.09,5.66,16.12,3.49,1.74,6.97,0.44,10.89,6.32,1.96,0.22,2.61,1.74,3.92,2.83,1.09,0.87,0.00,0.00,12.64,1.74,0.44,0.00,0.00,8.93,3.49,2.18,1.31,0.65,0.87,0.87,0.44,0.00,0.00,0.22,0.65,0.22,0.22,0.00,0.22,16.99,7.84,1.74,7.63,1.31,0.44,1.53,6.54,1.31,14.38,1.09,8.93,4.14,16.12,0.87,1.31,2.18,0.00,0.00,0.22,0.00,0.00,0.00,0.22,0.00,14.38,5.01,3.49,0.00,0.00,0.00,0.22,2.40,0.87,0.65,0.87,0.87
Bring The Giving Tree to Oaklawn Language Academy,Charlotte,Eboni's Birthday Book-a-palooza 4 Oaklawn,900,USD,"1,345","'Feb 23, 2015",34,Children & Youth;Education;,900,900,1.49444,1.49444,227,94.39,73.12,17.61,90.85,20.64,23.79,47.58,10.57,4.85,2.20,1.76,0.44,0.00,0.44,5.73,7.93,17.18,6.61,2.64,2.64,0.88,12.33,1.32,0.00,1.76,0.44,1.32,5.73,4.85,0.88,0.44,0.00,0.00,10.57,0.88,0.00,0.00,0.44,7.93,0.00,2.20,1.32,1.32,0.44,3.52,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.00,0.00,9.25,4.85,1.32,4.85,1.32,0.00,0.88,8.37,1.76,11.01,0.44,6.17,4.41,11.01,1.32,0.00,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.01,3.96,2.20,0.00,0.00,0.88,0.00,0.00,0.00,0.88,2.64,0.44
Bring the Rings to Woodstock,Woodstock,Dupree Park,"10,000",USD,"3,420","'Fundraising ended on Aug 18, 2014",19,Health;,"10,000","15,000",0.34200,0.22800,400,93.98,70.03,43.37,98.63,21.05,23.25,37.75,6.75,4.25,2.50,1.00,0.75,0.00,0.00,2.50,7.25,12.75,4.50,3.25,4.25,0.00,12.00,4.50,1.75,0.50,1.25,3.50,6.50,6.00,0.25,0.00,0.25,0.00,6.25,0.50,0.25,0.00,0.00,5.50,2.00,0.25,0.50,1.00,1.50,0.25,6.25,1.50,4.00,0.25,2.50,0.00,2.00,0.25,0.00,8.25,5.25,0.75,1.50,1.50,0.00,3.00,6.50,0.75,15.75,5.25,8.50,2.00,3.25,9.25,1.25,1.25,0.00,0.00,1.25,0.00,1.25,0.00,0.00,0.00,18.50,5.25,3.75,0.00,0.00,0.50,1.75,1.25,1.00,0.25,1.00,3.75
Bring the sexy back into aging,"Atlanta, GA",Ageless interAction,"1,300",USD,"5,025","'Mar 01, 2013",24,Community;,"1,300","5,000",3.86538,1.00500,553,67.60,80.72,43.86,90.97,19.07,28.21,42.31,11.57,6.69,3.07,2.71,0.18,0.00,0.72,4.88,4.88,10.31,5.24,3.62,7.59,1.27,12.48,5.79,2.35,1.99,2.17,1.08,5.61,4.70,0.72,0.18,0.00,0.54,12.48,0.54,0.72,0.36,0.54,10.67,3.07,2.53,1.99,1.27,0.36,2.35,2.17,0.54,0.54,0.36,2.53,0.00,1.63,0.36,0.00,12.66,7.23,1.99,2.71,0.90,0.18,3.44,7.59,0.36,13.56,0.72,5.42,7.23,4.88,1.45,1.81,0.54,0.00,0.00,0.36,0.00,0.18,0.00,0.18,0.00,16.09,5.97,4.16,0.00,0.00,0.54,0.00,1.27,0.36,0.72,1.81,1.27
Bringing Change Together,Sydney,The Go Tribe Phone App,"4,000",AUD,"4,043","'Apr 19, 2014",31,Community;,"4,000","6,000",1.01075,0.67383,543,90.41,98.78,40.26,99.00,23.61,21.55,44.01,8.84,6.81,0.00,5.16,1.47,0.00,0.18,2.03,7.73,14.92,5.52,3.31,6.45,0.74,14.73,2.95,1.29,0.74,1.84,2.58,7.18,7.00,0.18,0.00,0.00,0.18,18.05,0.55,0.55,0.18,0.00,7.55,0.55,2.39,1.10,1.66,1.29,1.29,2.03,0.92,0.55,0.55,0.92,0.18,0.74,0.00,0.00,19.15,13.44,2.39,2.76,1.84,0.18,1.29,12.34,1.10,18.78,4.42,10.68,3.68,3.13,2.39,0.55,1.10,0.00,0.00,1.66,0.00,1.29,0.37,0.00,0.00,17.68,3.50,4.97,0.74,0.00,0.18,0.92,2.58,0.00,1.66,1.84,1.29
Bringing online work to refugee women in Lebanon,"Beirut, Lebanon",TaQadam,"3,000",USD,730,"'Fundraising ended on May 07, 2018",6,Children & Youth;Economic Development;Social Enterprise;,"3,000","5,000",0.24333,0.14600,382,95.41,93.87,14.53,78.52,21.22,29.84,42.15,9.42,7.33,0.00,2.62,1.31,2.62,0.79,2.09,7.07,16.49,2.88,1.83,5.50,0.79,7.59,3.40,1.57,0.52,1.31,1.05,6.54,4.71,1.83,0.52,0.79,0.26,14.40,0.52,0.79,3.40,0.00,8.12,1.31,2.88,0.79,1.05,0.79,2.09,0.79,0.79,0.00,0.00,1.05,0.52,0.79,0.00,0.00,13.09,6.02,4.71,2.62,1.05,0.79,1.31,8.12,0.52,14.66,2.09,8.38,3.93,6.54,1.83,0.26,2.09,0.26,0.52,1.05,0.00,0.52,0.26,0.26,0.00,13.09,4.19,5.24,0.00,0.00,0.00,0.79,1.57,1.05,0.00,0.00,0.26
Bringing Pencils to the Cambodian Children of NHCC,Kampong Speu Province,Pencils for Cambodian Children,400,AUD,"2,719","'Oct 21, 2014",43,Children & Youth;,400,"1,500",6.79750,1.81267,225,93.25,77.50,12.93,87.04,28.12,30.67,44.00,7.56,3.56,1.33,1.33,0.00,0.00,0.89,4.00,7.11,15.56,6.22,0.89,6.22,1.33,11.11,5.33,1.78,1.78,4.00,2.67,4.44,4.00,0.44,0.00,0.00,0.44,11.11,0.89,0.00,0.00,0.00,7.56,1.33,0.44,2.22,2.22,0.00,2.22,0.44,0.44,0.00,0.00,4.00,0.00,4.00,1.78,0.00,9.78,2.22,1.33,4.89,1.33,0.00,1.33,8.89,1.78,11.56,0.89,5.78,4.89,6.67,0.89,1.33,0.44,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,14.22,4.00,4.89,0.00,0.44,0.00,0.00,0.44,1.33,1.78,0.89,0.44
Bringing Speech Therapy to Underserved Communities,DeRidder,Communication For All,"5,000",USD,560,"'Fundraising ended on Oct 29, 2014",7,Children & Youth;,"5,000","15,000",0.11200,0.03733,976,85.09,67.75,32.88,34.67,20.33,32.07,42.42,9.12,5.64,3.79,0.00,0.51,0.10,1.23,3.48,5.33,13.83,6.86,2.56,5.53,1.02,11.48,4.10,2.36,1.13,2.87,2.15,5.43,2.97,2.46,0.51,0.10,1.23,12.09,1.54,0.10,0.10,0.00,11.17,1.64,1.95,2.97,2.77,0.92,3.18,2.36,0.31,1.64,0.00,2.77,0.10,2.56,0.00,0.10,13.93,3.89,4.41,5.23,1.64,0.82,2.46,9.73,0.82,12.81,1.95,6.66,4.71,6.97,1.54,1.64,1.95,0.00,0.00,0.31,0.00,0.31,0.00,0.00,0.00,17.21,5.12,5.12,0.31,0.51,0.20,0.20,2.66,0.00,0.41,1.64,1.02
Broaden Sherpa Children Horizons,Brussels,Nima's Children,500,EUR,750,"'Nov 30, 2014",13,Children & Youth;,500,"2,000",1.50000,0.37500,250,94.58,89.96,18.41,98.35,17.86,20.00,47.20,8.80,6.40,0.00,2.00,0.40,1.20,2.80,2.40,10.40,14.80,5.20,2.40,5.20,1.60,12.00,6.40,2.80,1.20,2.40,2.40,5.60,5.60,0.00,0.00,0.00,0.00,13.60,0.40,0.00,1.60,0.00,7.60,1.60,2.00,0.80,0.80,0.80,1.60,1.60,1.20,0.00,0.00,0.80,0.00,0.80,0.00,0.00,16.40,6.00,2.00,7.60,2.80,0.00,4.00,6.80,1.60,14.40,3.20,5.20,6.00,3.60,0.80,0.80,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.40,4.80,4.40,0.40,0.00,0.00,1.20,0.00,1.60,1.20,0.80,0.00
Brooklyn's Family Cruise,Melbourne ,Make-A-Wish Australia - Brooklyn's Wish,"8,700",AUD,30,"'Fundraising ended on Nov 28, 2015",3,Children & Youth;,"8,700","13,384",0.00345,0.00224,535,83.41,91.37,1.00,99.00,19.81,23.74,44.86,9.91,7.66,0.00,0.37,0.93,4.30,2.06,2.24,6.36,13.83,8.04,3.55,5.23,0.37,19.44,5.98,3.74,0.75,1.50,2.43,9.35,8.41,0.93,0.00,0.37,0.19,14.02,1.68,0.19,4.49,0.75,12.52,1.12,1.87,4.86,1.31,2.43,1.31,0.75,0.19,0.00,0.00,3.18,0.37,2.24,0.00,0.56,9.35,3.74,1.31,4.67,0.93,0.00,3.36,10.47,5.61,11.96,4.11,4.49,3.93,0.37,2.06,0.93,0.19,0.00,0.00,0.37,0.00,0.37,0.00,0.00,0.00,15.89,4.49,4.67,0.37,0.00,0.00,0.56,1.68,0.37,3.18,0.00,0.56
